run_accession	study_accession	secondary_study_accession	sample_accession	experiment_accession	tax_id	scientific_name	instrument_platform	instrument_model	library_layout	library_strategy	read_count	base_count	fastq_ftp	submitted_ftp	bam_ftp	sample_title	experiment_title
SRR34737031	PRJNA1295507	SRP604007	SAMN50212607	SRX29871226	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	99645	39731200	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/031/SRR34737031/SRR34737031.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/031/SRR34737031/SRR34737031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/031/SRR34737031/SRR34737031_2.fastq.gz			LC-0953	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737050	PRJNA1295507	SRP604007	SAMN50212606	SRX29871207	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	97164	40090291	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/050/SRR34737050/SRR34737050.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/050/SRR34737050/SRR34737050_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/050/SRR34737050/SRR34737050_2.fastq.gz			LC-07617	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737037	PRJNA1295507	SRP604007	SAMN50212649	SRX29871220	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	70563	25909965	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/037/SRR34737037/SRR34737037.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/037/SRR34737037/SRR34737037_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/037/SRR34737037/SRR34737037_2.fastq.gz			LC-03064	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737011	PRJNA1295507	SRP604007	SAMN50212614	SRX29871246	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	71791	29340890	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/011/SRR34737011/SRR34737011.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/011/SRR34737011/SRR34737011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/011/SRR34737011/SRR34737011_2.fastq.gz			LC-06074	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737015	PRJNA1295507	SRP604007	SAMN50212633	SRX29871242	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	90546	33487892	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/015/SRR34737015/SRR34737015.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/015/SRR34737015/SRR34737015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/015/SRR34737015/SRR34737015_2.fastq.gz			LC-11462	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737021	PRJNA1295507	SRP604007	SAMN50212612	SRX29871236	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	94694	35787957	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/021/SRR34737021/SRR34737021.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/021/SRR34737021/SRR34737021_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/021/SRR34737021/SRR34737021_2.fastq.gz			LC-1201	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737049	PRJNA1295507	SRP604007	SAMN50212615	SRX29871208	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	90827	37459503	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/049/SRR34737049/SRR34737049.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/049/SRR34737049/SRR34737049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/049/SRR34737049/SRR34737049_2.fastq.gz			LC-06422	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737003	PRJNA1295507	SRP604007	SAMN50212642	SRX29871254	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	91723	38363690	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/003/SRR34737003/SRR34737003.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/003/SRR34737003/SRR34737003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/003/SRR34737003/SRR34737003_2.fastq.gz			LC-10343	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737005	PRJNA1295507	SRP604007	SAMN50212640	SRX29871252	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	69331	28009934	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/005/SRR34737005/SRR34737005.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/005/SRR34737005/SRR34737005_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/005/SRR34737005/SRR34737005_2.fastq.gz			LC-09972	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737010	PRJNA1295507	SRP604007	SAMN50212635	SRX29871247	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	42643	15843474	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/010/SRR34737010/SRR34737010.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/010/SRR34737010/SRR34737010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/010/SRR34737010/SRR34737010_2.fastq.gz			LC-06774	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737014	PRJNA1295507	SRP604007	SAMN50212634	SRX29871243	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	88766	35481060	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/014/SRR34737014/SRR34737014.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/014/SRR34737014/SRR34737014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/014/SRR34737014/SRR34737014_2.fastq.gz			LC-08368	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
SRR34737020	PRJNA1295507	SRP604007	SAMN50212628	SRX29871237	2697049	Severe acute respiratory syndrome coronavirus 2	ILLUMINA	Illumina MiSeq	PAIRED	AMPLICON	88316	34082109	ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/020/SRR34737020/SRR34737020.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/020/SRR34737020/SRR34737020_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR347/020/SRR34737020/SRR34737020_2.fastq.gz			LC-1607	Illumina MiSeq sequencing: SARS-CoV-2 whole genome sequencing from pediatric clinical isolate
